original_name,vlink,releasedate,members,group_name
"MOMOLAND(모모랜드) - ""뿜뿜(BBoom BBoom)"" Dance Practice",hLv5MBuSYDY,2018-01-08,female,Momoland
BLACKPINK - '뚜두뚜두 (DDU-DU DDU-DU)' DANCE PRACTICE VIDEO (MOVING VER.),jOJbXvjZ-cQ,2018-06-17,female,Blackpink
BLACKPINK - '붐바야(BOOMBAYAH)' DANCE PRACTICE VIDEO,ivoS3HUJB3Q,2016-08-20,female,Blackpink
BLACKPINK - '휘파람(WHISTLE)' DANCE PRACTICE VIDEO,1kYrp_Bs8DU,2016-08-18,female,Blackpink
BLACKPINK - ‘불장난(PLAYING WITH FIRE)’ DANCE PRACTICE VIDEO,NvWfJTbrTBY,2016-11-03,female,Blackpink
BLACKPINK - ‘마지막처럼 (AS IF IT’S YOUR LAST)’ DANCE PRACTICE VIDEO,hKUJmA9O6iA,2017-06-24,female,Blackpink
"TWICE(트와이스) ""KNOCK KNOCK"" Dance Practice Video",idOQFSu_4Ok,2017-02-25,female,Twice
gugudan(구구단) - 'The Boots' Dance Practice Video,JWzc8xC0d84,2018-02-04,female,Gugudan
gugudan(구구단) - 'Chococo' Dance Practice Video,NYIgWUEsVVc,2017-11-13,female,Gugudan
"2PM ""Promise (I'll be)"" Dance Practice Video",O4t_b9tZT0U,2016-09-25,male,2PM
B1A4 - Lonely (없구나) 안무 영상 (Lonely Dance Practice Video),cmBwMGWU1og,2014-03-18,male,B1A4
"MOMOLAND(모모랜드) - ""꼼짝마(Freeze)"" Dance Practice",_rDsVGpCuW4,2017-08-28,female,Momoland
TAEMIN 태민 'MOVE' Dance Practice,_cAskH1PtmQ,2017-10-23,male,Taemin
"MOMOLAND(모모랜드) - ""BAAM"" Dance Practice",z0rthAhdkRk,2018-07-02,female,Momoland
Red Velvet 레드벨벳 'Rookie' Dance Practice,o845InvtxKk,2017-02-10,female,Red Velvet
SHINee 샤이니 'I Want You' Dance Practice,EJ5-FH7qX9Q,2018-06-21,male,SHINee
AOA - 빙글뱅글 (Bingle Bangle) 안무영상 (Dance Practice) Full Ver.,b3mMeYS2wzE,2018-06-19,female,AOA
SHINee 샤이니 '데리러 가 (Good Evening)' Dance Practice,aI5k1PPUtpw,2018-06-10,male,SHINee
"Yubin ""숙녀 (淑女)"" Dance Practice",_ZtQbqrdyvw,2018-06-08,female,Yubin
[SPECIAL VIDEO] PRISTIN V(프리스틴 V) - 네 멋대로(Get It) Dance Practice,udxg7qwf7HI,2018-06-04,female,Pristin V
여자친구 GFRIEND - 밤 (Time For The Moon Night) Dance Practice ver.,PfMIkyJdxYw,2018-05-01,female,GFriend
EXO-CBX (첸백시) '花요일 (Blooming Day)' Dance Practice,UdjEoGzXxmI,2018-04-23,male,EXO-CBX
NCT 2018 엔시티 2018 'Black on Black' Dance Practice,tOpTQ3Fuf9s,2018-04-22,male,NCT
[EXID(이엑스아이디)] 내일해 안무영상('LADY' DANCE PRACTICE),Mg1dttIyZKk,2018-04-03,female,EXID
