original_name,vlink,releasedate,members,group_name
[SPECIAL VIDEO] NU'EST (뉴이스트) - BET BET Dance Practice Close Up Ver.,fcLLylGkxaQ,2019-05-07,male,NU'EST
[BANGTAN BOMB] '작은 것들을 위한 시 (Boy With Luv)' Dance Practice (Eye contact ver.) - BTS (방탄소년단),o03lR8ErvL0,2019-05-08,male,BTS
TXT (투모로우바이투게더) '어느날 머리에서 뿔이 자랐다 (CROWN)’ Dance Practice (CU ver),xbMQ1QKRY9Y,2019-05-12,male,TXT
[Thank you for L.O.ᄉ.E] NU'EST (뉴이스트) - BET BET Dance Practice Winning #1 Ver.,q4CgjXW4v8Q,2019-05-18,male,NU'EST
"GOT7 ""ECLIPSE"" Dance Practice (Directed by Jackson)",jD3LhVh33XU,2019-05-26,male,GOT7
TXT (투모로우바이투게더) ‘Cat & Dog’ Dance Practice (Appeal ver.),V2NBFDF24MU,2019-05-26,male,TXT
"GOT7 ""ECLIPSE"" Dance Practice",cCpqA-WcEq8,2019-05-28,male,GOT7
[CHOREOGRAPHY] BTS (방탄소년단) 'MIC Drop' Dance Practice (MAMA dance break ver.) #2019BTSFESTA,eRkpkveBWyo,2017-09-18,male,BTS
[CHOREOGRAPHY] BTS (방탄소년단) '봄날 (Spring Day)' Dance Practice (Lovely ver.) #2019BTSFESTA,8ZbPyzh3pio,2019-06-08,male,BTS
ATEEZ(에이티즈) - 'WAVE' Dance Practice,N8ycGT0zyfM,2019-06-13,male,ATEEZ
NCT DREAM 엔시티 드림 'GO' Dance Practice,5AEYijM9zPM,2018-04-17,male,NCT DREAM
A.C.E(에이스) - UNDER COVER Dance Practice,lvPl-M3r-hk,2019-06-15,male,A.C.E
[Dance Practice] 몬스타엑스 (MONSTA X) - DRAMARAMA,TbdPEsW233o,2017-11-23,male,MONSTA X
NCT DREAM 엔시티 드림 'We Go Up' Dance Practice,QLXvgzik5lU,2018-09-08,male,NCT DREAM
"ATEEZ(에이티즈) - 'HALA HALA (Hearts Awakened, Live Alive)' Dance Practice",wWhCCXmOl3g,2019-02-16,male,ATEEZ
[Dance Practice] 몬스타엑스 (MONSTA X) - 히어로(HERO) Fix ver.,hb_yGZ9nJik,2015-10-25,male,MONSTA X
A.C.E(에이스) - Mr.Bass Dance Practice,6szBswGnRNQ,2019-06-18,male,A.C.E
ATEEZ(에이티즈) - 'Treasure' Dance Practice,jJVoTEt2mC4,2018-10-30,male,ATEEZ
THE BOYZ(더보이즈) 'No Air' DANCE PRACTICE VIDEO,i_QeJxsd38s,2018-12-03,male,The Boyz
ATEEZ(에이티즈) - '해적왕(Pirate King)' Dance Practice (미리 크리스마스 ver.),7WD5aFectt0,2018-11-30,male,ATEEZ
ATEEZ(에이티즈) - '해적왕(Pirate King)' Dance Practice (Cute Halloween ver.),FaSXk90P7hM,2018-10-31,male,ATEEZ
ATEEZ(에이티즈) - 'WAVE' Dance Practice (우당탕탕 큐티 ver.),XDwqdOJ8QOk,2019-06-20,male,ATEEZ
NCT 127 엔시티 127 'Regular (English Ver.)' Dance Practice,X3S7v2o2RLo,2018-10-20,male,NCT 127
D-CRUNCH(디크런치) - '작당모의(Are you ready?)' Dance Practice Video,fZa-kdh5fds,2019-06-21,male,D-Crunch
U-KNOW 유노윤호 'Follow' Dance Practice,WXAOIgg0HZY,2019-06-24,male,U-Know Yunho
[Dance Practice] 몬스타엑스 (MONSTA X) - 'Alligator' Fix ver.,Myzpc6JwLZ0,2019-02-25,male,MONSTA X
[Dance Practice] 몬스타엑스 (MONSTA X) - JEALOUSY,SXyn-IZfNxU,2018-04-06,male,MONSTA X
[Dance Practice] 몬스타엑스 (MONSTA X) - 'SHOOT OUT' Stage costume ver. (FIX ver.),f_sBAFCZxdo,2018-10-30,male,MONSTA X
EXO エクソ 'Electric Kiss' Dance Practice,XcdLVKYsHHU,2018-01-12,male,EXO
레오(LEO) - 로맨티시즘 (Romanticism) Dance Practice Video (Vertical Cam),OkPO8qFLWgk,2019-07-01,male,Leo
iKON - '사랑을 했다 (LOVE SCENARIO)' DANCE PRACTICE VIDEO,heIvcW7nw5U,2018-01-26,male,iKON
iKON - ‘BLING BLING’ DANCE PRACTICE VIDEO,JT6H8Qs1Tsc,2017-05-25,male,iKON
iKON - '벌떼 (B-DAY)' DANCE PRACTICE VIDEO,S-uQ_kJhpdM,2017-05-30,male,iKON
iKON - 'BEAUTIFUL' DANCE PRACTICE VIDEO,vUiaG1EpN7A,2018-01-27,male,iKON
iKON - ‘고무줄다리기 (RUBBER BAND)’ DANCE PRACTICE VIDEO (MOVING VER.),sFLTqo2emQ8,2018-03-06,male,iKON
iKON - '지못미(APOLOGY)' DANCE PRACTICE,UUT1eCtNxgU,2015-11-17,male,iKON
iKON - '이별길(GOODBYE ROAD)' DANCE PRACTICE VIDEO,ud4pcl1-DeY,2018-10-02,male,iKON
"Stray Kids ""부작용(Side Effects)"" Dance Practice Video (9 ver.)",49yISZz79bI,2019-07-04,male,Stray Kids
WINNER - ‘REALLY REALLY’ DANCE PRACTICE VIDEO,R006vItSMKk,2017-04-11,male,Winner
WINNER - ‘EVERYDAY’ DANCE PRACTICE VIDEO (MOVING VER.),PHmBGkEFW78,2018-04-05,male,Winner
WINNER - 'ISLAND' DANCE PRACTICE VIDEO,B7jL-fTYDQs,2017-08-09,male,Winner
WINNER - 'LOVE ME LOVE ME' DANCE PRACTICE VIDEO,7QcZpmAZVa4,2017-08-07,male,Winner
WINNER - ‘FOOL’ DANCE PRACTICE VIDEO,YY72U9YtcWY,2017-04-12,male,Winner
"NCT DREAM 엔시티 드림 '1, 2, 3' Dance Practice (교복 ver.)",440SalNr65g,2018-09-17,male,NCT DREAM
AB6IX (에이비식스) 'BREATHE' DANCE PRACTICE VIDEO,KwMSaypGi7A,2019-07-04,male,AB6IX
[SPECIAL VIDEO] SEVENTEEN(세븐틴) - '아주 NICE' (VERY NICE) DANCE PRACTICE ver.,A1gJQpMSkEU,2016-07-20,male,Seventeen
VAV - 'Give me more' Dance Practice Video,G1FZHXFy0Kw,2019-07-23,male,VAV
[Dance Practice] 강다니엘(KANGDANIEL) - 뭐해 (What are you up to),ml7zga-2Xdo,2019-07-31,male,Kang Daniel
